komk,N07015,N00905,N00914,N00920,N00954,N00968,N02937,N02993,N07004,N07805,N07806,N07900,N07908,N07909,N07911,N07910,N07912,U07406,U01803,pt_share,N60404,U85001,U85002,U85420,U85421,U85422,U85427,U85429,Grupp,Huvudgrupp,Kommungrupp,Kommunnamn
114,84.248112,201706,77.556561,66.273255,97.7,37.59752,551.9909442,75.09,1097.348549,7.70214171,0.09434454,89.55353165,17971,25149,2.91925,57241,38,57,17.4,0.121050807110359,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,A2,A,2,Upplands Väsby
115,69.996204,225066,85.252936,67.85005,82.3,22.976663,88.22413216,358.36,846.533401,26.20330858,2.12807796,48.81956707,17175,24364,29.383856,23382,41,59,12.6,0.127245194134754,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,A2,A,2,Vallentuna
117,26.793431000000002,220695,83.328837,59.172013,86.8,11.958701,129.62548015,312.4,1263.341153,23.09364471,2.03775657,60.76980382,16449,24883,147.993579,37686,43,55,13.3,0.079481367800851,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,A2,A,2,Österåker
120,159.058918,225915,84.152068,60.437356,75.7,17.283579,88.79762516,448.03,977.428112,30.97388503,0.81874809,24.53352289,23741,31750,346.7223,43914,38,52,13.9,0.0867509943394117,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,A2,A,2,Värmdö
123,119.507858,205178,76.259066,65.301996,99.8,31.381097,1285.39304962,53.81,1501.207223,4.84814844,2.30953664,81.5549228,19725,26343,2.342157,NA,38,61,18.3,0.130534583041237,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,A2,A,2,Järfälla
125,36.463669,233619,84.712056,59.005172,72.9,21.615455,121.0722161,217.68,404.439385,29.65989012,2.07298073,22.17507645,20765,27063,77.859989,36492,43,NA,11.9,0.0838601384247522,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,A2,A,2,Ekerö
126,253.771074,207412,75.614891,69.00462,99.2,62.944141,782.81810549,131.01,2278.830309,6.27281925,2.46817009,53.91804098,19317,29296,14.957536,43605,36,56,21.9,0.157212666263157,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,A2,A,2,Huddinge
127,104.510162,176728,67.997958,67.400736,97.4,25.734527,451.04805068,194.17,1149.097968,7.86987013,3.42118497,68.92073652,16347,22200,13.01667,37642,34,52,29.7,0.120792074651162,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,A2,A,2,Botkyrka
128,184.425973,219036,82.890173,77.545692,98.8,21.723238,295.82177852,54.09,1050.55934,12.48360571,NA,52.01934552,16697,20652,8.186988,59900,40,63,14.5,0.166411676427838,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,A2,A,2,Salem
136,99.8369,197314,75.427451,61.880871,93.8,24.199402,176.68042002,458.07,847.625167,15.82264243,3.35249902,59.79323024,14989,24828,73.333169,42853,36,55,20.5,0.169873112002886,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,A2,A,2,Haninge
138,163.478693,222354,82.118989,69.895775,99.1,19.979527,639.4368231,69.25,1376.640094,7.74319175,2.48859889,63.4398909,19335,31555,23.734785,56026,39,59,14.2,0.127202082182298,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,A2,A,2,Tyresö
139,45.986317,199654,74.968483,67.312775,90.2,27.612335,104.90933028,235.47,1200.34004,27.85645968,2.40209465,53.68758213,15812,22225,34.530219,28433,39,57,18.8,0.174972653183782,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,A2,A,2,Upplands-Bro
140,77.391578,228104,85.692068,71.80896,75.4,20.625528,62.3396177,152.76,2392.103329,44.46470753,3.55062334,48.9750634,16870,19779,45.468865,26434,40,53,11.2,0.113480399133318,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,B4,B,4,Nykvarn
160,11.720871,244619,83.303631,68.928924,99.6,40.541708,1091.7654809,60.72,1429.312738,5.97409307,2.14157252,85.78587908,23862,34394,4.057805,62615,43,NA,10.1,0.108646186394282,354.8179414,3256.113843,27.78216021,54,58,21.55378049,52,117.2016077,A2,A,2,Täby
