"Förvärvsarbetande nattbefolkning 16- år by År, Delområde, Arbetsdelområde and Kön"

"År"	"Delområde"	"Arbetsdelområde"	"Kön"	Förvärvsarbetande nattbefolkning 16- år
"2001"	"Berghem"	"Berghem"	"Totalt"	64
"2001"	"Berghem"	"Haga/Sandbacka"	"Totalt"	32
"2001"	"Berghem"	"Centrala staden"	"Totalt"	337
"2001"	"Berghem"	"Västerslätt"	"Totalt"	29
"2001"	"Berghem"	"Ersboda/Ersmark"	"Totalt"	71
"2001"	"Berghem"	"Backen"	"Totalt"	53
"2001"	"Berghem"	"Umeå västra landsbygd"	"Totalt"	7
"2001"	"Berghem"	"Tavelsjö"	"Totalt"	0
"2001"	"Berghem"	"Teg"	"Totalt"	75
"2001"	"Berghem"	"Umeå södra landsbygd"	"Totalt"	0
"2001"	"Berghem"	"Östra stadsdelen"	"Totalt"	44
"2001"	"Berghem"	"Marieområdet"	"Totalt"	57
"2001"	"Berghem"	"Universitetsområdet"	"Totalt"	482
"2001"	"Berghem"	"Tomteboområdet"	"Totalt"	4
"2001"	"Berghem"	"Holmsund"	"Totalt"	22
"2001"	"Berghem"	"Hörnefors"	"Totalt"	4
"2001"	"Berghem"	"Sävar"	"Totalt"	11
"2001"	"Berghem"	"Holmön"	"Totalt"	0
"2001"	"Berghem"	"Umeå östra landsbygd"	"Totalt"	..
"2001"	"Berghem"	"Uppgift saknas"	"Totalt"	0
"2001"	"Berghem"	"Ospecificerad arbetsplats"	"Totalt"	37
"2001"	"Berghem"	"Arbetsplatsen saknar NYKO"	"Totalt"	5
"2001"	"Berghem"	"Växlande arbetskraft"	"Totalt"	4
"2001"	"Berghem"	"Totalt"	"Totalt"	1338
"2001"	"Berghem"	"I20-området"	"Totalt"	..
"2001"	"Haga/Sandbacka"	"Berghem"	"Totalt"	38
"2001"	"Haga/Sandbacka"	"Haga/Sandbacka"	"Totalt"	262
"2001"	"Haga/Sandbacka"	"Centrala staden"	"Totalt"	985
"2001"	"Haga/Sandbacka"	"Västerslätt"	"Totalt"	114
"2001"	"Haga/Sandbacka"	"Ersboda/Ersmark"	"Totalt"	264
"2001"	"Haga/Sandbacka"	"Backen"	"Totalt"	251
"2001"	"Haga/Sandbacka"	"Umeå västra landsbygd"	"Totalt"	30
"2001"	"Haga/Sandbacka"	"Tavelsjö"	"Totalt"	9
"2001"	"Haga/Sandbacka"	"Teg"	"Totalt"	336
"2001"	"Haga/Sandbacka"	"Umeå södra landsbygd"	"Totalt"	14
"2001"	"Haga/Sandbacka"	"Östra stadsdelen"	"Totalt"	107
"2001"	"Haga/Sandbacka"	"Marieområdet"	"Totalt"	137
"2001"	"Haga/Sandbacka"	"Universitetsområdet"	"Totalt"	648
"2001"	"Haga/Sandbacka"	"Tomteboområdet"	"Totalt"	20
"2001"	"Haga/Sandbacka"	"Holmsund"	"Totalt"	55
"2001"	"Haga/Sandbacka"	"Hörnefors"	"Totalt"	18
"2001"	"Haga/Sandbacka"	"Sävar"	"Totalt"	38
"2001"	"Haga/Sandbacka"	"Holmön"	"Totalt"	0
"2001"	"Haga/Sandbacka"	"Umeå östra landsbygd"	"Totalt"	..
"2001"	"Haga/Sandbacka"	"Uppgift saknas"	"Totalt"	0
"2001"	"Haga/Sandbacka"	"Ospecificerad arbetsplats"	"Totalt"	89
"2001"	"Haga/Sandbacka"	"Arbetsplatsen saknar NYKO"	"Totalt"	18
"2001"	"Haga/Sandbacka"	"Växlande arbetskraft"	"Totalt"	5
"2001"	"Haga/Sandbacka"	"Totalt"	"Totalt"	3438
"2001"	"Haga/Sandbacka"	"I20-området"	"Totalt"	..
"2001"	"Centrala staden"	"Berghem"	"Totalt"	55
"2001"	"Centrala staden"	"Haga/Sandbacka"	"Totalt"	110
"2001"	"Centrala staden"	"Centrala staden"	"Totalt"	1668
"2001"	"Centrala staden"	"Västerslätt"	"Totalt"	162
"2001"	"Centrala staden"	"Ersboda/Ersmark"	"Totalt"	256
"2001"	"Centrala staden"	"Backen"	"Totalt"	264
"2001"	"Centrala staden"	"Umeå västra landsbygd"	"Totalt"	41
"2001"	"Centrala staden"	"Tavelsjö"	"Totalt"	8
"2001"	"Centrala staden"	"Teg"	"Totalt"	395
"2001"	"Centrala staden"	"Umeå södra landsbygd"	"Totalt"	19
"2001"	"Centrala staden"	"Östra stadsdelen"	"Totalt"	143
"2001"	"Centrala staden"	"Marieområdet"	"Totalt"	143
"2001"	"Centrala staden"	"Universitetsområdet"	"Totalt"	941
"2001"	"Centrala staden"	"Tomteboområdet"	"Totalt"	22
"2001"	"Centrala staden"	"Holmsund"	"Totalt"	89
"2001"	"Centrala staden"	"Hörnefors"	"Totalt"	19
"2001"	"Centrala staden"	"Sävar"	"Totalt"	35
"2001"	"Centrala staden"	"Holmön"	"Totalt"	0
"2001"	"Centrala staden"	"Umeå östra landsbygd"	"Totalt"	..
"2001"	"Centrala staden"	"Uppgift saknas"	"Totalt"	0
"2001"	"Centrala staden"	"Ospecificerad arbetsplats"	"Totalt"	93
"2001"	"Centrala staden"	"Arbetsplatsen saknar NYKO"	"Totalt"	21
"2001"	"Centrala staden"	"Växlande arbetskraft"	"Totalt"	8
"2001"	"Centrala staden"	"Totalt"	"Totalt"	4492
"2001"	"Centrala staden"	"I20-området"	"Totalt"	..
"2001"	"Västerslätt"	"Berghem"	"Totalt"	7
"2001"	"Västerslätt"	"Haga/Sandbacka"	"Totalt"	27
